2022-07-08 13:42:17,320 INFO    SenderThread:4580 [sender.py:send_request_log_artifact():1006] logged artifact source-2q6lcpx6 - {'id': 'QXJ0aWZhY3Q6MTU0NzQxMTYz', 'digest': 'dd8d54581db228a5bb482e2a5f453827', 'state': 'COMMITTED', 'aliases': [{'artifactCollectionName': 'source-2q6lcpx6', 'alias': 'latest'}, {'artifactCollectionName': 'source-2q6lcpx6', 'alias': 'v0'}], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjIzODgxOTcw', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTU0NzQxMTYz', 'versionIndex': 0}}, 'version': 'v0'}
2022-07-08 13:42:17,320 DEBUG   SenderThread:4580 [sender.py:send():235] send: stats
2022-07-08 13:42:19,469 DEBUG   HandlerThread:4580 [handler.py:handle_request():141] handle_request: stop_status
2022-07-08 13:42:19,469 DEBUG   SenderThread:4580 [sender.py:send_request():249] send_request: stop_status
2022-07-08 13:42:24,548 DEBUG   HandlerThread:4580 [handler.py:handle_request():141] handle_request: resume
2022-07-08 13:42:24,549 INFO    HandlerThread:4580 [handler.py:handle_request_resume():686] starting system metrics thread
2022-07-08 13:42:24,957 DEBUG   HandlerThread:4580 [handler.py:handle_request():141] handle_request: log_artifact
2022-07-08 13:42:24,957 DEBUG   SenderThread:4580 [sender.py:send_request():249] send_request: log_artifact
2022-07-08 13:42:24,960 DEBUG   HandlerThread:4580 [handler.py:handle_request():141] handle_request: pause
2022-07-08 13:42:24,960 INFO    HandlerThread:4580 [handler.py:handle_request_pause():695] stopping system metrics thread
2022-07-08 13:42:28,188 INFO    Thread-21 :4580 [upload_job.py:push():90] Uploaded file C:\Users\julio\.cache\wandb\artifacts\obj\md5\3f\ffb6743840bde671f146148851fde5
2022-07-08 13:42:28,404 DEBUG   HandlerThread:4580 [handler.py:handle_request():141] handle_request: resume
2022-07-08 13:42:28,404 INFO    HandlerThread:4580 [handler.py:handle_request_resume():686] starting system metrics thread
2022-07-08 13:42:28,828 DEBUG   HandlerThread:4580 [handler.py:handle_request():141] handle_request: log_artifact
2022-07-08 13:42:28,830 DEBUG   HandlerThread:4580 [handler.py:handle_request():141] handle_request: pause
2022-07-08 13:42:28,830 INFO    HandlerThread:4580 [handler.py:handle_request_pause():695] stopping system metrics thread
2022-07-08 13:42:29,732 INFO    SenderThread:4580 [sender.py:send_request_log_artifact():1006] logged artifact source-2q6lcpx6 - {'id': 'QXJ0aWZhY3Q6MTU0NzQxMjUy', 'digest': 'c4e796c5e12c55e82752e1e7cef5f42f', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjIzODgxOTcw', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTU0NzQxMTYz', 'versionIndex': 0}}, 'version': 'latest'}
2022-07-08 13:42:29,732 DEBUG   SenderThread:4580 [sender.py:send():235] send: stats
2022-07-08 13:42:29,732 DEBUG   SenderThread:4580 [sender.py:send_request():249] send_request: log_artifact
2022-07-08 13:42:30,509 INFO    SenderThread:4580 [sender.py:send_request_log_artifact():1006] logged artifact source-2q6lcpx6 - {'id': 'QXJ0aWZhY3Q6MTU0NzQxMjUy', 'digest': 'c4e796c5e12c55e82752e1e7cef5f42f', 'state': 'COMMITTED', 'aliases': [{'artifactCollectionName': 'source-2q6lcpx6', 'alias': 'latest'}, {'artifactCollectionName': 'source-2q6lcpx6', 'alias': 'v1'}], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjIzODgxOTcw', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTU0NzQxMjUy', 'versionIndex': 1}}, 'version': 'v1'}
2022-07-08 13:42:30,627 INFO    Thread-11 :4580 [dir_watcher.py:_on_file_modified():269] file/dir modified: C:\Users\julio\Downloads\trabalho 2(mlops)\Example_01\wandb\run-20220708_134158-2q6lcpx6\files\output.log
2022-07-08 13:42:30,866 DEBUG   SenderThread:4580 [sender.py:send():235] send: stats
2022-07-08 13:42:31,563 DEBUG   HandlerThread:4580 [handler.py:handle_request():141] handle_request: resume
2022-07-08 13:42:31,564 INFO    HandlerThread:4580 [handler.py:handle_request_resume():686] starting system metrics thread
